id;type;startTime;endTime;duration;parent;next;previous
http://knowrob.org/kb/knowrob.owl#LookingForSomething_ZCQVGWEP;LookingForSomething;1533289370.56655;1533289372.96294;2.3963878155;FetchAndDeliver;PickingUpAnObject;MovingToOperate
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_BQKSGJVE;LookingAtLocation;1533289352.6326;1533289352.81429;0.181689024;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#OpeningAGripper_ZGQWRVEH;OpeningAGripper;1533289385.73473;1533289385.85152;0.1167969704;ClosingADrawer;Reaching;
http://knowrob.org/kb/knowrob.owl#LookingForSomething_DGKSOFPL;LookingForSomething;1533289361.25195;1533289361.6317;0.3797459602;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#MovingToLocation_MKDNEIZW;MovingToLocation;1533289384.75187;1533289385.46586;0.7139928341;MovingToOperate;ClosingADrawer;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_NUWZKOJG;LookingAtLocation;1533289355.41176;1533289355.59975;0.1879911423;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#BaseMovement_YIJHBRPG;BaseMovement;1533289360.9656;1533289361.18752;0.2219209671;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#ClosingAGripper_ZKONVDGQ;ClosingAGripper;1533289369.49865;1533289369.64474;0.1460900307;OpeningADrawer;Pulling;GRASPING
http://knowrob.org/kb/knowrob.owl#VisualPerception_YZTMUFWD;VisualPerception;1533289358.78907;1533289358.99307;0.2039990425;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#LookingForSomething_RQSFMOXP;LookingForSomething;1533289374.1592;1533289374.54956;0.3903579712;PickingUpAnObject;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#VisualPerception_HJTGNPQK;VisualPerception;1533289351.34547;1533289351.55516;0.2096910477;PickingUpAnObject;MovingToLocation;LookingForSomething
http://knowrob.org/kb/knowrob.owl#BaseMovement_HPNXFBCS;BaseMovement;1533289385.27274;1533289385.43336;0.1606190205;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#Reaching_MQNIWGJK;Reaching;1533289385.88455;1533289386.24861;0.3640620708;ClosingADrawer;GRASPING;OpeningAGripper
http://knowrob.org/kb/knowrob.owl#BaseMovement_QJMNVSYX;BaseMovement;1533289356.37209;1533289356.59842;0.2263319492;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#BaseMovement_EXPNUSFZ;BaseMovement;1533289383.3064;1533289383.54067;0.2342779636;FetchAndDeliver;ReleasingGraspOfSomething;PuttingDownAnObject
http://knowrob.org/kb/knowrob.owl#Retracting_HNBUEFSI;Retracting;1533289370.18559;1533289370.47802;0.292427063;OpeningADrawer;;OpeningAGripper
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_JCFKOHWB;LookingAtLocation;1533289364.42547;1533289364.61766;0.192191124;LookingForSomething;;
